   0.5000           -0.29309          0.0           1.00000
   0.5200           -0.30482          0.0           1.00000
   0.5400           -0.31654          0.0           1.00000
   0.5600           -0.32826          0.0           1.00000
   0.5800           -0.33999          0.0           1.00000
   0.6000           -0.35171          0.0           1.00000
   0.6200           -0.36344          0.0           1.00000
   0.6400           -0.37516          0.0           1.00000
   0.6600           -0.38688          0.0           1.00000
   0.6800           -0.39861          0.0           1.00000
   0.7000           -0.41033          0.0           1.00000
   0.7200           -0.42205          0.0           1.00000
   0.7400           -0.43378          0.0           1.00000
   0.7600           -0.44550          0.0           1.00000
   0.7800           -0.45723          0.0           1.00000
   0.8000           -0.46895          0.0           1.00000
   0.8200           -0.48067          0.0           1.00000
   0.8400           -0.49240          0.0           1.00000
   0.8600           -0.50412          0.0           1.00000
   0.8800           -0.51584          0.0           1.00000
   0.9000           -0.52755          0.0           1.00000
   0.9200           -0.53924          0.0           1.00000
   0.9400           -0.55089          0.0           1.00000
   0.9600           -0.56245          0.0           1.00000
   0.9800           -0.57379          0.0           1.00000
   1.0000           -0.58471          0.0           1.00000
   1.0200           -0.59479          0.0           1.00000
   1.0400           -0.60327          0.0           1.00000
   1.0600           -0.60890          0.0           1.00000
   1.0800           -0.60964          0.0           1.00000
   1.1000           -0.60236          0.0           1.00000
   1.1200           -0.58264          0.0           1.00000
   1.1400           -0.54455          0.0           1.00000
   1.1600           -0.48084          0.0           1.00000
   1.1800           -0.38346          0.0           1.00000
   1.2000           -0.24463          0.0           1.00000
   1.2200           -0.05852          0.0           1.00000
   1.2400            0.17676          0.0           1.00000
   1.2600            0.45713          0.0           1.00000
   1.2800            0.77105          0.0           1.00000
   1.3000            1.09919          0.0           1.00000
   1.3200            1.41563          0.0           1.00000
   1.3400            1.69080          0.0           1.00000
   1.3600            1.89575          0.0           1.00000
   1.3800            2.00690          0.0           1.00000
   1.4000            2.01029          0.0           1.00000
   1.4200            1.90414          0.0           1.00000
   1.4400            1.69925          0.0           1.00000
   1.4600            1.41693          0.0           1.00000
   1.4800            1.08515          0.0           1.00000
   1.5000            0.73379          0.0           1.00000
   1.5200            0.39015          0.0           1.00000
   1.5400            0.07559          0.0           1.00000
   1.5600           -0.19618          0.0           1.00000
   1.5800           -0.41916          0.0           1.00000
   1.6000           -0.59379          0.0           1.00000
   1.6200           -0.72507          0.0           1.00000
   1.6400           -0.82043          0.0           1.00000
   1.6600           -0.88795          0.0           1.00000
   1.6800           -0.93514          0.0           1.00000
   1.7000           -0.96818          0.0           1.00000
   1.7200           -0.99167          0.0           1.00000
   1.7400           -1.00858          0.0           1.00000
   1.7600           -1.02043          0.0           1.00000
   1.7800           -1.02740          0.0           1.00000
   1.8000           -1.02838          0.0           1.00000
   1.8200           -1.02103          0.0           1.00000
   1.8400           -1.00179          0.0           1.00000
   1.8600           -0.96605          0.0           1.00000
   1.8800           -0.90854          0.0           1.00000
   1.9000           -0.82398          0.0           1.00000
   1.9200           -0.70825          0.0           1.00000
   1.9400           -0.55962          0.0           1.00000
   1.9600           -0.38025          0.0           1.00000
   1.9800           -0.17714          0.0           1.00000
   2.0000            0.03743          0.0           1.00000
   2.0200            0.24660          0.0           1.00000
   2.0400            0.43076          0.0           1.00000
   2.0600            0.57034          0.0           1.00000
   2.0800            0.64894          0.0           1.00000
   2.1000            0.65631          0.0           1.00000
   2.1200            0.59024          0.0           1.00000
   2.1400            0.45698          0.0           1.00000
   2.1600            0.27005          0.0           1.00000
   2.1800            0.04780          0.0           1.00000
   2.2000           -0.18979          0.0           1.00000
   2.2200           -0.42415          0.0           1.00000
   2.2400           -0.64046          0.0           1.00000
   2.2600           -0.82899          0.0           1.00000
   2.2800           -0.98515          0.0           1.00000
   2.3000           -1.10886          0.0           1.00000
   2.3200           -1.20317          0.0           1.00000
   2.3400           -1.27296          0.0           1.00000
   2.3600           -1.32364          0.0           1.00000
   2.3800           -1.36035          0.0           1.00000
   2.4000           -1.38739          0.0           1.00000
   2.4200           -1.40811          0.0           1.00000
   2.4400           -1.42489          0.0           1.00000
   2.4600           -1.43933          0.0           1.00000
   2.4800           -1.45246          0.0           1.00000
   2.5000           -1.46488          0.0           1.00000
   2.5200           -1.47693          0.0           1.00000
   2.5400           -1.48880          0.0           1.00000
   2.5600           -1.50059          0.0           1.00000
   2.5800           -1.51234          0.0           1.00000
   2.6000           -1.52408          0.0           1.00000
   2.6200           -1.53581          0.0           1.00000
   2.6400           -1.54753          0.0           1.00000
   2.6600           -1.55926          0.0           1.00000
   2.6800           -1.57098          0.0           1.00000
   2.7000           -1.58270          0.0           1.00000
   2.7200           -1.59443          0.0           1.00000
   2.7400           -1.60615          0.0           1.00000
   2.7600           -1.61787          0.0           1.00000
   2.7800           -1.62960          0.0           1.00000
   2.8000           -1.64132          0.0           1.00000
   2.8200           -1.65305          0.0           1.00000
   2.8400           -1.66477          0.0           1.00000
   2.8600           -1.67649          0.0           1.00000
   2.8800           -1.68822          0.0           1.00000
   2.9000           -1.69994          0.0           1.00000
   2.9200           -1.71166          0.0           1.00000
   2.9400           -1.72339          0.0           1.00000
   2.9600           -1.73511          0.0           1.00000
   2.9800           -1.74684          0.0           1.00000
   3.0000           -1.75852          0.0           1.00000
   3.0200           -1.77019          0.0           1.00000
   3.0400           -1.78178          0.0           1.00000
   3.0600           -1.79318          0.0           1.00000
   3.0800           -1.80417          0.0           1.00000
   3.1000           -1.81432          0.0           1.00000
   3.1200           -1.82277          0.0           1.00000
   3.1400           -1.82799          0.0           1.00000
   3.1600           -1.82728          0.0           1.00000
